Epoch: 69, Ep: 39, Epr: 1.2197530864197532, loss: 0.9831639006733894 mse_loss: 0.19120202492922544, kl_loss: 0.056547039188444614, sparse_loss:0.7354148421436548
Epoch: 70, Ep: 39, Epr: 1.2197530864197532, loss: 0.9841383267194033 mse_loss: 0.19256570609286427, kl_loss: 0.056558210621005856, sparse_loss:0.735014408826828
Epoch: 71, Ep: 39, Epr: 1.2197530864197532, loss: 0.9788343403488398 mse_loss: 0.18781422381289303, kl_loss: 0.056582710065413266, sparse_loss:0.7344374023377895
Epoch: 72, Ep: 39, Epr: 1.2197530864197532, loss: 0.990579204633832 mse_loss: 0.20006973505951464, kl_loss: 0.05663051444571465, sparse_loss:0.7338789571076632
Epoch: 73, Ep: 39, Epr: 1.2197530864197532, loss: 0.9831456411629915 mse_loss: 0.19327708869241178, kl_loss: 0.056685261777602136, sparse_loss:0.7331832908093929
Epoch: 74, Ep: 39, Epr: 1.2197530864197532, loss: 0.9826733581721783 mse_loss: 0.19301566923968494, kl_loss: 0.056637147325091064, sparse_loss:0.7330205477774143
Epoch: 75, Ep: 39, Epr: 1.2197530864197532, loss: 0.9801644664257765 mse_loss: 0.191017575096339, kl_loss: 0.05669030174612999, sparse_loss:0.7324566002935171
Epoch: 76, Ep: 39, Epr: 1.2197530864197532, loss: 0.9775827471166849 mse_loss: 0.18883642507717013, kl_loss: 0.05671138640900608, sparse_loss:0.7320349402725697
Epoch: 77, Ep: 39, Epr: 1.2197530864197532, loss: 0.9809719864279032 mse_loss: 0.1927774955984205, kl_loss: 0.05676750576822087, sparse_loss:0.7314269859343767
Epoch: 78, Ep: 40, Epr: 1.2510288065843622, loss: 0.9792221691459417 mse_loss: 0.1915644200053066, kl_loss: 0.0567833665991202, sparse_loss:0.730874378234148
Epoch: 79, Ep: 40, Epr: 1.2510288065843622, loss: 0.9755727890878916 mse_loss: 0.1883553850930184, kl_loss: 0.05680047249188647, sparse_loss:0.730416925624013
