Epoch: 19, Ep: 66, Epr: 1.2373437697260445, loss: 2.7348437681794167 mse_loss: 1.582222893834114, kl_loss: 0.40723932441323996, sparse_loss:0.7453815620392561
Epoch: 20, Ep: 66, Epr: 1.2373437697260445, loss: 2.6906565129756927 mse_loss: 1.5331900864839554, kl_loss: 0.41460403706878424, sparse_loss:0.74286238104105
Epoch: 22, Ep: 63, Epr: 1.1811008711021336, loss: 2.387152500450611 mse_loss: 1.4014242924749851, kl_loss: 0.25236278772354126, sparse_loss:0.733365410938859
Epoch: 23, Ep: 62, Epr: 1.1623532382274964, loss: 2.309732601046562 mse_loss: 1.3379969373345375, kl_loss: 0.24928513448685408, sparse_loss:0.7224504854530096
Epoch: 25, Ep: 64, Epr: 1.1998485039767706, loss: 4.678241193294525 mse_loss: 1.2167774327099323, kl_loss: 2.7233026549220085, sparse_loss:0.7381611689925194
Epoch: 26, Ep: 61, Epr: 1.1436056053528594, loss: 4.534654751420021 mse_loss: 1.1913215965032578, kl_loss: 2.5947336591780186, sparse_loss:0.7485994901508093
Epoch: 28, Ep: 61, Epr: 1.1436056053528594, loss: 2.3952305801212788 mse_loss: 0.9233541712164879, kl_loss: 0.7180010145530105, sparse_loss:0.7538753841072321
Epoch: 29, Ep: 60, Epr: 1.1248579724782224, loss: 2.3224081471562386 mse_loss: 0.8533366098999977, kl_loss: 0.713995810598135, sparse_loss:0.7550757583230734
Epoch: 31, Ep: 60, Epr: 1.1248579724782224, loss: 1.6418388970196247 mse_loss: 0.7275861166417599, kl_loss: 0.14517088886350393, sparse_loss:0.7690819017589092
Epoch: 32, Ep: 60, Epr: 1.1248579724782224, loss: 1.5670753195881844 mse_loss: 0.6538708414882421, kl_loss: 0.14267200138419867, sparse_loss:0.7705324664711952
Epoch: 34, Ep: 60, Epr: 1.1248579724782224, loss: 2.4196260794997215 mse_loss: 0.5500765489414334, kl_loss: 1.0957826618105173, sparse_loss:0.7737668696790934
Epoch: 35, Ep: 60, Epr: 1.1248579724782224, loss: 2.388314288109541 mse_loss: 0.5176696851849556, kl_loss: 1.0977717023342848, sparse_loss:0.7728729005903006
Epoch: 37, Ep: 61, Epr: 1.1436056053528594, loss: 1.4037896282970905 mse_loss: 0.4612904116511345, kl_loss: 0.17716136295348406, sparse_loss:0.7653378527611494
Epoch: 38, Ep: 60, Epr: 1.1248579724782224, loss: 1.3736266568303108 mse_loss: 0.434086836874485, kl_loss: 0.17774622421711683, sparse_loss:0.7617936003953218
